,data,precipitacao,pressao_atm,radiacao,temperatura_ar,temperatura_orvalho,umidade_rel,vento_direcao,vento_rajada_max,vento_velocidade,temperatura_min,temperatura_max,pm10,so2,no2,o3,co,pm10_min,so2_min,no2_min,o3_min,co_min,pm10_max,so2_max,no2_max,o3_max,co_max,internacoes
44,2020-02-28,0.0,1011.2166666666668,2083.3153846153846,22.195833333333336,14.125,63.16666666666666,184.33333333333331,3.995833333333333,1.3291666666666668,16.2,29.2,45.88,8.76,4.7,16.79,,45.88,8.76,4.7,16.79,,45.88,8.76,4.7,16.79,,3
45,2020-06-30,4.666666666666667,999.9291666666668,79.5,14.633333333333333,14.05,96.08333333333331,141.125,5.95,1.7666666666666666,12.6,15.6,9.283043478260868,,,25.9508695652174,,6.0,,,9.99,,20.05,,,42.53,,3
46,2020-07-01,0.1166666666666666,1001.0666666666666,350.5769230769231,12.75,9.329166666666667,79.875,275.7083333333333,11.279166666666669,3.579166666666666,11.0,14.2,7.833749999999999,8.224347826086957,7.1705,31.722916666666663,,6.0,3.71,2.78,8.61,,15.08,45.1,18.95,43.96,,8
47,2020-07-02,0.0,1013.075,940.5454545454544,10.341666666666669,5.900000000000001,74.95833333333333,267.2916666666667,5.270833333333333,1.7250000000000003,8.9,11.9,11.968333333333334,5.69,8.461666666666666,27.0575,,6.0,0.65,2.25,0.98,,52.51,26.96,19.87,45.59,,5
48,2020-07-03,0.0,1015.2041666666668,1165.6636363636362,8.420833333333334,4.05,74.75,264.9583333333333,3.5875,1.2083333333333333,5.2,12.3,41.658125,24.2,10.3525,15.365217391304348,,21.88,24.2,5.65,0.98,,86.23,24.2,18.0,46.5,,1
49,2020-07-04,0.0,1011.225,1166.4363636363637,10.1625,4.8875,73.5,171.95833333333334,2.7291666666666665,0.9833333333333334,4.4,18.9,52.12800000000001,20.45478260869565,9.614166666666668,17.608333333333334,,30.79,7.99,3.38,0.98,,77.07,40.31,20.4,61.04,,4
50,2020-07-05,0.9333333333333332,1006.2583333333332,105.93333333333332,13.691666666666668,11.679166666666667,88.375,139.79166666666666,2.65,0.8541666666666666,12.1,15.2,59.41470588235294,32.30583333333333,12.942608695652174,4.55625,,35.12,18.15,5.83,0.98,,98.92,51.16,20.22,17.47,,3
51,2020-07-06,0.0,1013.9625,324.1875,12.566666666666665,9.920833333333333,84.08333333333333,170.875,4.691666666666666,1.2125,11.8,13.6,18.53458333333333,8.861666666666666,4.13,25.710416666666664,,6.0,4.94,4.13,15.55,,33.42,16.02,4.13,36.39,,1
52,2020-07-07,3.4249999999999994,1011.0916666666666,66.92727272727274,12.3,11.083333333333334,92.45833333333331,134.83333333333334,8.375,2.6416666666666666,11.5,13.1,8.451666666666666,3.369166666666666,,39.4,,6.0,2.09,,39.4,,21.3,5.77,,39.4,,0
53,2020-07-08,1.7583333333333335,1003.6333333333332,292.8384615384615,13.929166666666667,13.0875,94.79166666666669,207.54166666666663,8.970833333333333,2.7458333333333336,12.3,14.8,6.0,9.581739130434784,6.6195,,,6.0,0.65,0.47,,,6.0,72.01,20.61,,,2
